experience_level,salary,remote_ratio,company_size
MI,90000,0,M
MI,70000,0,M
MI,94000,0,M
SE,204500,0,M
SE,142200,0,M
SE,160000,100,M
SE,180000,100,M
SE,165000,100,M
SE,176000,100,L
SE,150000,0,M
SE,100000,0,M
SE,140000,100,L
SE,166500,0,M
SE,120600,0,M
EN,104000,100,L
SE,185900,0,M
SE,129300,0,M
MI,110000,100,M
MI,197000,100,M
MI,135000,100,M
SE,247500,0,M
SE,172200,0,M
SE,186000,100,M
SE,148800,100,M
SE,247500,0,M
SE,172200,0,M
SE,156000,0,M
SE,124000,0,M
SE,165000,0,M
SE,135000,0,M
SE,155000,0,M
SE,130000,0,M
SE,146000,0,M
SE,122000,0,M
SE,240000,0,M
SE,200000,0,M
SE,179000,0,M
SE,149000,0,M
SE,179000,0,M
SE,149000,0,M
SE,240000,100,M
SE,150000,100,M
SE,247500,0,M
SE,172200,0,M
SE,205485,100,M
SE,156560,100,M
SE,151410,100,M
SE,115360,100,M
SE,205000,100,M
SE,139400,100,M
EN,68000,50,L
MI,80000,100,M
SE,65000,0,L
EX,172000,100,M
MI,120000,0,M
MI,87000,0,M
MI,152000,0,M
MI,91000,0,M
MI,90000,100,S
SE,125000,0,M
SE,122000,0,M
SE,205000,100,M
SE,139400,100,M
MI,147800,0,M
MI,90400,0,M
SE,114800,100,M
SE,88600,100,M
EX,148000,0,M
EX,100000,0,M
SE,250000,100,M
SE,180000,100,M
EN,62000,50,S
EN,98000,0,L
MI,175000,100,L
SE,157250,100,M
SE,133663,100,M
MI,120000,100,L
SE,163000,100,M
SE,122000,100,M
MI,185000,100,L
MI,98200,100,L
SE,150000,100,L
SE,163000,100,M
SE,122000,100,M
MI,128000,100,M
MI,96000,100,M
SE,160000,100,M
SE,140000,100,M
SE,145000,100,L
EN,123000,50,L
EN,100000,100,S
SE,110000,100,L
SE,220100,100,M
SE,176080,100,M
SE,243225,100,M
SE,179775,100,M
SE,209100,100,L
SE,114800,100,L
SE,224000,100,M
SE,169000,100,M
SE,140000,100,L
SE,215000,100,L
SE,159000,100,L
MI,80000,50,L
SE,110000,100,M
SE,95000,100,M
SE,221500,100,M
SE,90700,100,M
EN,120000,0,M
EN,75000,0,M
EN,120000,0,M
EN,75000,0,M
MI,94000,0,M
MI,59000,0,M
EN,75000,0,L
MI,85000,100,L
SE,194000,100,M
SE,146000,100,M
MI,120000,100,L
MI,180000,0,M
MI,120000,0,M
SE,240000,100,M
SE,200000,100,M
MI,200000,100,M
MI,101000,100,M
MI,97213,100,M
MI,100000,100,M
MI,152000,0,M
MI,91000,0,M
MI,120000,0,M
MI,87000,0,M
SE,200000,100,M
SE,180000,100,M
SE,123400,0,M
SE,88100,0,M
SE,163575,100,M
SE,115800,100,M
SE,136600,100,M
SE,109280,100,M
SE,211600,100,M
SE,182160,100,M
SE,211600,100,M
SE,182160,100,M
SE,145000,100,M
SE,120000,100,M
MI,112000,100,M
MI,64000,100,M
SE,105800,100,M
SE,81600,100,M
SE,210000,0,M
SE,140000,0,M
SE,160000,100,M
SE,125000,100,M
MI,119910,0,M
MI,72324,0,M
MI,94000,0,M
MI,59000,0,M
SE,177600,100,L
SE,131300,100,L
MI,120000,100,L
SE,211600,100,M
SE,182160,100,M
SE,207000,100,M
SE,139000,100,M
SE,207500,100,M
SE,125000,100,M
SE,230000,100,M
SE,140000,100,M
SE,95000,100,M
SE,154700,100,M
SE,131495,100,M
MI,95000,0,M
MI,70000,0,M
SE,235000,100,M
SE,205000,100,M
SE,154700,100,M
SE,131495,100,M
EX,125000,100,L
EX,160000,50,S
