,work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_size
476,2022,EN,FT,Security Manager,110000,US,50,M
477,2021,EN,FT,Security Analyst,53000,US,50,M
478,2021,EN,FT,Security Analyst,55000,US,50,S
479,2021,SE,FT,Security Analyst,180000,US,100,L
485,2022,SE,FT,Security Specialist,106000,US,100,L
487,2022,MI,FT,Security Engineer,98000,US,100,L
488,2020,SE,FT,Threat Intelligence,125000,US,50,L
491,2022,MI,FT,Incident Response,160000,US,100,L
494,2022,SE,FT,Penetration Tester,150000,US,100,M
495,2022,EN,FT,Security Analyst,76000,US,50,L
497,2021,EX,FT,Chief Information Security Officer,310000,US,50,L
500,2022,MI,FT,Incident Response,155000,CA,100,L
501,2021,MI,FT,Security Manager,99980,US,100,L
502,2021,MI,FT,Threat Intelligence,145000,US,100,L
503,2022,EN,FT,Security Specialist,79000,US,50,M
504,2021,MI,FT,Security Manager,120000,US,100,L
505,2022,EX,FT,Security Director,210000,US,100,L
506,2022,MI,FT,Threat Intelligence,125000,US,100,M
507,2022,SE,FT,Security Analyst,115000,US,100,L
508,2021,SE,FT,Security Manager,225000,US,100,L
513,2022,EX,FT,Security Manager,153000,US,100,L
515,2022,SE,FT,Security Engineer,180000,US,100,M
516,2021,MI,FT,Threat Intelligence,120000,US,100,L
517,2022,MI,FT,Security Analyst,107000,US,100,L
519,2022,EN,FT,Security Analyst,65000,US,100,L
522,2021,SE,FT,Security Manager,305000,US,100,L
523,2022,SE,FT,Security Researcher,500000,US,100,L
524,2021,SE,FT,Security Engineer,125000,US,100,L
526,2021,SE,FT,Security Engineer,140000,US,50,L
527,2022,SE,FT,Security Architect,297000,US,50,L
528,2021,MI,FT,Security Analyst,46560,US,100,L
529,2022,SE,FT,Security Analyst,96000,US,100,L
530,2022,SE,FT,Penetration Tester,130000,US,100,L
535,2022,SE,FT,Security Researcher,82000,DE,100,L
536,2022,SE,FT,Security Analyst,129000,US,100,L
537,2022,SE,FT,Security Engineer,155000,US,100,L
538,2021,SE,FT,Security Architect,125000,US,100,L
539,2020,EN,FT,Security Analyst,73000,US,0,M
540,2021,SE,FT,Security Engineer,170000,US,100,L
541,2022,SE,FT,Security Engineer,160000,US,100,L
542,2022,EN,FT,Security Analyst,70000,US,100,M
543,2021,MI,FT,Security Analyst,98000,US,100,L
544,2022,SE,FT,Threat Intelligence,143000,US,100,L
545,2021,MI,FT,Security Engineer,83500,US,0,L
546,2022,MI,FT,Security Analyst,120000,US,100,L
547,2022,MI,FT,Security Engineer,120000,US,100,M
548,2022,MI,FT,Security Analyst,20100,CR,100,L
549,2022,EX,FT,Security Researcher,240000,US,100,L
550,2021,MI,FT,Threat Intelligence,97000,US,100,L
551,2022,SE,FT,Threat Intelligence,220000,US,100,L
552,2022,EX,FT,Threat Intelligence,287500,US,50,L
553,2022,SE,FT,Penetration Tester,150000,US,100,M
554,2021,SE,FT,Security Engineer,120000,US,100,L
555,2021,SE,FT,Threat Intelligence,157000,US,100,L
556,2021,SE,FT,Threat Intelligence,208000,JP,100,L
557,2022,SE,FT,Security Specialist,100500,US,100,L
558,2021,EX,FT,Security Manager,175000,US,100,L
559,2022,SE,FT,Threat Intelligence,150000,US,100,L
560,2022,EN,FT,Security Analyst,72000,US,100,L
561,2021,SE,FT,Threat Intelligence,125000,US,100,L
562,2022,SE,FT,Security Manager,190000,US,50,L
563,2022,EN,FT,Security Analyst,65000,US,100,L
564,2022,MI,FT,Security Researcher,160000,US,50,S
565,2022,MI,FT,Security Analyst,90000,US,100,S
566,2022,SE,FT,Security Engineer,360000,US,100,L
567,2022,SE,FT,Security Engineer,200000,US,100,L
569,2022,MI,FT,Security Engineer,120000,US,100,L
570,2022,EN,FT,Security Analyst,34000,US,100,L
573,2022,MI,FT,Penetration Tester,165000,US,100,M
574,2022,SE,FT,Security Engineer,173000,US,50,L
575,2021,MI,FT,Security Engineer,109000,US,0,L
576,2022,MI,FT,Threat Intelligence,126000,US,0,M
577,2022,MI,FT,Security Analyst,230000,US,50,L
578,2022,SE,FT,Security Specialist,112000,US,100,M
579,2022,SE,FT,Security Analyst,130000,US,50,L
580,2022,SE,FT,Security Engineer,130000,US,100,L
581,2022,EN,FT,Security Analyst,58000,US,100,S
582,2021,MI,FT,Vulnerability Management,69000,US,100,L
583,2022,MI,FT,Security Specialist,145000,US,50,L
584,2022,MI,FT,Chief Information Security Officer,61000,US,0,M
585,2021,EN,FT,Security Analyst,70000,US,100,L
586,2021,SE,FT,Security Architect,126000,US,50,L
588,2021,EX,FT,Security Director,145000,US,100,L
589,2022,EN,FT,Security Analyst,75000,US,100,L
590,2022,MI,FT,Security Analyst,74900,US,0,L
592,2021,SE,FT,Security Analyst,87000,AE,50,L
593,2021,EN,FT,Security Engineer,65000,US,100,L
594,2021,MI,FT,Security Researcher,45000,PT,100,L
595,2022,SE,FT,Security Manager,143000,US,50,L
596,2022,SE,FT,Vulnerability Management,165000,US,100,L
599,2021,MI,FT,Security Specialist,130000,US,100,L
600,2021,SE,FT,Threat Intelligence,125000,US,100,L
601,2022,SE,FT,Security Manager,112000,US,50,L
